country,Year,Vehicles per 1000 people
Afghanistan,2002,
Angola,2002,
Albania,2002,73
Netherlands Antilles,2002,472
United Arab Emirates,2002,
Argentina,2002,
Armenia,2002,
Australia,2002,
Austria,2002,588
Azerbaijan,2002,58
Burundi,2002,
Belgium,2002,526
Benin,2002,
Burkina Faso,2002,
Bangladesh,2002,
Bulgaria,2002,325
Bahrain,2002,382
Bahamas,2002,
Bosnia and Herzegovina,2002,
Belarus,2002,
Belize,2002,155
Bolivia,2002,
Brazil,2002,
Barbados,2002,337
Brunei,2002,
Bhutan,2002,17
Botswana,2002,85
Central African Republic,2002,
Canada,2002,582
Switzerland,2002,550
Chile,2002,135
China,2002,13
"Congo, Dem. Rep.",2002,
"Congo, Rep.",2002,
Colombia,2002,
Comoros,2002,
Cape Verde,2002,
Costa Rica,2002,146
Cuba,2002,
Cyprus,2002,506
Czech Republic,2002,394
Germany,2002,576
Denmark,2002,424
Dominican Republic,2002,111
Algeria,2002,
Ecuador,2002,
Eritrea,2002,
Spain,2002,559
Estonia,2002,358
Ethiopia,2002,2
Finland,2002,
Fiji,2002,
France,2002,593
"Micronesia, Fed. Sts.",2002,
United Kingdom,2002,505
Georgia,2002,70
Ghana,2002,19
Gambia,2002,8
Guinea-Bissau,2002,1
Greece,2002,435
Guatemala,2002,
Guyana,2002,
"Hong Kong, China",2002,
Honduras,2002,
Croatia,2002,313
Hungary,2002,300
Indonesia,2002,109
India,2002,11
Ireland,2002,436
Iran,2002,
Iceland,2002,638
Israel,2002,286
Italy,2002,653
Jamaica,2002,
Jordan,2002,
Japan,2002,582
Kazakhstan,2002,90
Kenya,2002,17
Kyrgyz Republic,2002,
Kiribati,2002,
South Korea,2002,293
Kuwait,2002,
Lao,2002,57
Liberia,2002,
Libya,2002,
Sri Lanka,2002,42
Lithuania,2002,375
Luxembourg,2002,712
Latvia,2002,339
"Macao, China",2002,130
Morocco,2002,
Monaco,2002,
Moldova,2002,81
Maldives,2002,
Mexico,2002,194
North Macedonia,2002,163
Mali,2002,
Malta,2002,617
Myanmar,2002,
Mongolia,2002,42
Mozambique,2002,
Mauritius,2002,116
Malawi,2002,
Malaysia,2002,258
Namibia,2002,85
Niger,2002,5
Nigeria,2002,
Nicaragua,2002,39
Netherlands,2002,486
Norway,2002,521
Nepal,2002,
New Zealand,2002,738
Oman,2002,
Pakistan,2002,8
Panama,2002,103
Peru,2002,47
Philippines,2002,35
Papua New Guinea,2002,
Poland,2002,347
Puerto Rico,2002,
Portugal,2002,
Paraguay,2002,
Palestine,2002,
Qatar,2002,508
Romania,2002,
Russia,2002,
Rwanda,2002,
Sudan,2002,
Senegal,2002,
Singapore,2002,133
Sierra Leone,2002,4
El Salvador,2002,
Serbia,2002,
Sao Tome and Principe,2002,
Suriname,2002,
Slovak Republic,2002,280
Slovenia,2002,484
Sweden,2002,501
Eswatini,2002,82
Seychelles,2002,114
Syria,2002,34.7
Chad,2002,
Togo,2002,
Tajikistan,2002,
Turkmenistan,2002,
Trinidad and Tobago,2002,
Tunisia,2002,89
Turkey,2002,90
Tanzania,2002,
Uganda,2002,
Ukraine,2002,135
Uruguay,2002,
United States,2002,
St. Vincent and the Grenadines,2002,126
Venezuela,2002,
Vietnam,2002,8
Samoa,2002,
Yemen,2002,
South Africa,2002,144
Zambia,2002,
Zimbabwe,2002,
Afghanistan,2003,
Angola,2003,
Albania,2003,
Netherlands Antilles,2003,400
United Arab Emirates,2003,
Argentina,2003,
Armenia,2003,
Australia,2003,644
Austria,2003,595
Azerbaijan,2003,61
Burundi,2003,
Belgium,2003,524
Benin,2003,
Burkina Faso,2003,
Bangladesh,2003,
Bulgaria,2003,338
Bahrain,2003,383
Bahamas,2003,
Bosnia and Herzegovina,2003,
Belarus,2003,
Belize,2003,162
Bolivia,2003,45
Brazil,2003,164
Barbados,2003,377
Brunei,2003,
Bhutan,2003,
Botswana,2003,96
Central African Republic,2003,
Canada,2003,582
Switzerland,2003,554
Chile,2003,135
China,2003,15
"Congo, Dem. Rep.",2003,
"Congo, Rep.",2003,
Colombia,2003,
Comoros,2003,
Cape Verde,2003,
Costa Rica,2003,190
Cuba,2003,
Cyprus,2003,521
Czech Republic,2003,
Germany,2003,576
Denmark,2003,
Dominican Republic,2003,105
Algeria,2003,88
Ecuador,2003,54
Eritrea,2003,
Spain,2003,550
Estonia,2003,427
Ethiopia,2003,2
Finland,2003,497
Fiji,2003,
France,2003,594
"Micronesia, Fed. Sts.",2003,
United Kingdom,2003,496
Georgia,2003,71
Ghana,2003,21
Gambia,2003,8
Guinea-Bissau,2003,
Greece,2003,453
Guatemala,2003,
Guyana,2003,
"Hong Kong, China",2003,72
Honduras,2003,
Croatia,2003,356
Hungary,2003,316
Indonesia,2003,
India,2003,12
Ireland,2003,447
Iran,2003,
Iceland,2003,656
Israel,2003,285
Italy,2003,
Jamaica,2003,
Jordan,2003,100
Japan,2003,581
Kazakhstan,2003,96
Kenya,2003,17
Kyrgyz Republic,2003,
Kiribati,2003,
South Korea,2003,303
Kuwait,2003,397
Lao,2003,
Liberia,2003,
Libya,2003,
Sri Lanka,2003,
Lithuania,2003,401
Luxembourg,2003,718
Latvia,2003,329
"Macao, China",2003,138
Morocco,2003,59
Monaco,2003,
Moldova,2003,78
Maldives,2003,11
Mexico,2003,203
North Macedonia,2003,
Mali,2003,
Malta,2003,633
Myanmar,2003,5
Mongolia,2003,43
Mozambique,2003,
Mauritius,2003,122
Malawi,2003,
Malaysia,2003,272
Namibia,2003,
Niger,2003,5
Nigeria,2003,
Nicaragua,2003,42
Netherlands,2003,
Norway,2003,525
Nepal,2003,
New Zealand,2003,681
Oman,2003,
Pakistan,2003,
Panama,2003,
Peru,2003,47
Philippines,2003,
Papua New Guinea,2003,
Poland,2003,357
Puerto Rico,2003,
Portugal,2003,507
Paraguay,2003,
Palestine,2003,30
Qatar,2003,
Romania,2003,177
Russia,2003,
Rwanda,2003,
Sudan,2003,
Senegal,2003,
Singapore,2003,133
Sierra Leone,2003,
El Salvador,2003,
Serbia,2003,
Sao Tome and Principe,2003,
Suriname,2003,227
Slovak Republic,2003,288
Slovenia,2003,492
Sweden,2003,
Eswatini,2003,84
Seychelles,2003,121
Syria,2003,36.2
Chad,2003,
Togo,2003,
Tajikistan,2003,
Turkmenistan,2003,
Trinidad and Tobago,2003,
Tunisia,2003,
Turkey,2003,91
Tanzania,2003,
Uganda,2003,
Ukraine,2003,139
Uruguay,2003,
United States,2003,796
St. Vincent and the Grenadines,2003,138
Venezuela,2003,
Vietnam,2003,
Samoa,2003,
Yemen,2003,
South Africa,2003,
Zambia,2003,
Zimbabwe,2003,
Afghanistan,2004,
Angola,2004,
Albania,2004,85
Netherlands Antilles,2004,445
United Arab Emirates,2004,
Argentina,2004,
Armenia,2004,
Australia,2004,653
Austria,2004,599
Azerbaijan,2004,66
Burundi,2004,
Belgium,2004,529
Benin,2004,
Burkina Faso,2004,
Bangladesh,2004,
Bulgaria,2004,360
Bahrain,2004,
Bahamas,2004,
Bosnia and Herzegovina,2004,
Belarus,2004,
Belize,2004,
Bolivia,2004,49
Brazil,2004,170
Barbados,2004,375
Brunei,2004,
Bhutan,2004,
Botswana,2004,105
Central African Republic,2004,
Canada,2004,
Switzerland,2004,559
Chile,2004,
China,2004,21
"Congo, Dem. Rep.",2004,
"Congo, Rep.",2004,
Colombia,2004,
Comoros,2004,
Cape Verde,2004,
Costa Rica,2004,198
Cuba,2004,
Cyprus,2004,553
Czech Republic,2004,
Germany,2004,580
Denmark,2004,430
Dominican Republic,2004,110
Algeria,2004,89
Ecuador,2004,55
Eritrea,2004,
Spain,2004,
Estonia,2004,459
Ethiopia,2004,
Finland,2004,515
Fiji,2004,
